Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
GRSE,EQ,2228,16.36,25522.19,130.89,2856.63
MAZDOCK,EQ,3150.6,4.93,127088.9,82.05,2592.03
COCHINSHIP,EQ,1745.2,10.67,45912.86,146.54,2549.16
BSE,EQ,7360,0.93,99637,23.46,1719.23
HAL,EQ,4724.5,2.49,315962.75,34.41,1614.12
TATAMOTORS,EQ,695.25,-1.76,255945.77,215.03,1498.57
BDL,EQ,1778.5,1.82,65193.14,68.27,1223.53
BEL,EQ,344.15,2.5,251566.04,290.77,990.95
BHARTIARTL,EQ,1828.4,0.43,1042572.94,49.52,915.8
WAAREEENER,EQ,2825.4,5.03,81169,29.54,830.68
RECLTD,EQ,389.7,-3,102616.74,207.73,821.05
TATASTEEL,EQ,155.48,4.05,194093.88,442.47,688.44
HDFCBANK,EQ,1916.1,-0.34,1466887.97,35.59,683.77
ICICIBANK,EQ,1424.5,-0.43,1015540.98,37.05,531.01
PARAS,EQ,1481.2,4.39,5968.3,30.49,456.27
PAYTM,EQ,848.9,-0.81,54152.06,53.21,447.25
HBLENGINE,EQ,555.8,9.72,15406.5,78.66,430.04
INDUSINDBK,EQ,780,1.29,60766.25,53.9,416.83
HEROMOTOCO,EQ,4078.7,0.37,81578.42,9.48,381.85
SIEMENS,EQ,3011,3.23,107227.88,12.63,377.81
SBIN,EQ,800.15,-0.2,714103.47,46.94,377.09
BAJFINANCE,EQ,9087.5,0.5,564723.29,4.16,377.07
SWIGGY,EQ,309,-0.5,77053.69,120.93,374.77
RVNL,EQ,369.05,3.36,76947.67,99.87,367.72
COFORGE,EQ,8442,2.12,56459.13,4.36,367.08
SUZLON,EQ,59.93,4.05,81795.73,617.86,366.33
RELIANCE,EQ,1423.2,0.53,1925941.51,25.28,360.16
CDSL,EQ,1340.7,1.31,28020.63,26.24,351.17
NYKAA,EQ,197.7,0.04,56511.92,170.63,339.51
ITDCEM,EQ,613.05,8.51,10531.44,54.26,335.94
LT,EQ,3595.6,0.8,494464.09,9.27,333.55
ABCAPITAL,EQ,218.04,6.42,56845.2,150.89,324.44
JINDALSTEL,EQ,927.6,1.97,94623.37,34.73,321.55
TCS,EQ,3542.5,0.78,1281707.5,8.82,311.83
INFY,EQ,1588.5,1.27,659745.9,19.6,311.02
CIPLA,EQ,1501.6,-1.22,121275.28,20.49,306.48
M&M,EQ,3097.8,1.44,385220.36,9.81,302.52
INDIGO,EQ,5513.5,-0.14,213063.35,5.37,295.66
SHRIRAMFIN,EQ,646.85,2.09,121632.63,45.38,294.54
CANBK,EQ,105.57,0.75,95758.87,278.68,294.48
DIXON,EQ,16106,-0.7,97017.21,1.81,293.47
BHARATFORG,EQ,1243.1,3.26,59431.2,23.48,292.83
BEML,EQ,3406.5,2.38,14186.2,8.43,287.57
BHEL,EQ,235.92,-1.03,82148.84,120.44,285.35
VEDL,EQ,442,1.52,172839.15,63.39,281.16
MCX,EQ,6082,2.43,31017.21,4.57,274.7
YESBANK,EQ,21.03,0.77,65942.04,1314.04,274.37
DATAPATTNS,EQ,2569.7,3.4,14386.2,10.59,273.57
VBL,EQ,508.85,0.02,172086.24,49.32,252.26
ETERNAL,EQ,234.55,1.25,226348.97,105.04,246.14
RAILTEL,EQ,347.65,6.69,11157.42,71.58,245.47
KAYNES,EQ,6331.5,0.73,40574.98,3.8,239.01
PFC,EQ,406.9,-1.32,134281.14,57.75,238.65
NBCC,EQ,106.88,5.1,28857.6,223.54,234.36
TRITURBINE,EQ,574.6,4.36,18265.21,39.97,232.8
SAIL,EQ,120.37,3.77,49719.13,191.89,230.05
MFSL,EQ,1332.1,3.26,45972.74,16.4,218.49
KFINTECH,EQ,1075.9,2.68,18514.45,20.32,218.41
TANLA,EQ,556.4,-0.17,7490.11,38.6,216.4
NTPC,EQ,342.1,0.18,331722.95,60.76,207.93
KPIGREEN,EQ,439.4,5.91,8651.37,48.01,207.57
ANGELONE,EQ,2564.4,3.09,23189.34,8.03,204.5
TATAELXSI,EQ,6090.5,1.75,37934.41,3.21,195.19
ASIANPAINT,EQ,2288.5,-1.55,219512.41,8.49,194.56
UNIONBANK,EQ,134.33,2.72,102542.22,145.13,194.35
IRCON,EQ,169.6,5.77,15951.15,116.18,193.48
JIOFIN,EQ,267.75,0.13,170105.37,71.54,191.98
KALYANKJIL,EQ,554.1,-0.07,57151.83,34.43,191.94
KOTAKBANK,EQ,2096.7,-0.89,416876.43,8.98,189.35
TITAGARH,EQ,788.6,5.27,10620.37,24.13,187.45
IRFC,EQ,128.22,2.77,167564.38,147.54,187.35
HDFCAMC,EQ,4543,1.03,97158.04,3.97,179.77
APOLLO,EQ,131.93,-0.89,4043.52,136.16,179.03
MARUTI,EQ,12636,1.23,397279.09,1.41,177.67
TRENT,EQ,5342,0.29,189901.4,3.29,176.74
HINDALCO,EQ,647.05,1.94,145406.79,26.71,172.48
NATIONALUM,EQ,171.38,3.84,31476.2,100.88,172.44
BAJAJFINSV,EQ,2019.8,0.08,322726.31,8.51,172.29
TATAPOWER,EQ,393.2,1,125640.75,42.83,168.65
POLICYBZR,EQ,1754.7,2.36,80585.88,9.66,168.15
TECHM,EQ,1593.1,1.31,155975.72,10.53,167.84
SRF,EQ,2864,-2.19,84896.07,5.79,167.55
AXISBANK,EQ,1194.3,0.06,370035.14,13.91,166.1
UPL,EQ,635.75,-1.1,47719.88,25.92,165.52
GLAXO,EQ,2873.5,3.04,48678.82,5.58,165.09
ITC,EQ,428.75,0.2,536542.89,37.48,161
AETHER,EQ,751.05,-1.92,9958.19,21.34,158.32
MIDHANI,EQ,373.85,9.52,7003.71,42.84,158.29
EDELWEISS,EQ,88.91,2.86,8409.58,177.77,157.56
POWERINDIA,EQ,16719,4.66,74520.53,0.94,155.47
ADANIGREEN,EQ,968.5,1.09,153413.55,16.02,155.13
SYRMA,EQ,530.55,-6,9452.17,28.23,152.46
RPOWER,EQ,44.47,2.21,17863.47,344.74,152.03
ABB,EQ,5640,0.06,119516.32,2.51,142.32
RBLBANK,EQ,210.5,1.33,12798,67.55,141.97
GODREJPROP,EQ,2104,0.08,63369.3,6.49,137.06
GAIL,EQ,186.4,1.4,122559.86,73.69,136.95
INDHOTEL,EQ,767.5,0.84,109248.42,17.7,136.58
POWERGRID,EQ,296.25,-0.74,275530.39,45.72,136.33
COROMANDEL,EQ,2350.2,-3.42,69245.43,5.78,136.24
BPCL,EQ,310.25,1.09,134602.13,43.62,135.4
ZEEL,EQ,124.1,0.77,11920.05,108.22,134.75
IDEA,EQ,6.99,0.72,75731.78,1921.19,134.68
HINDUNILVR,EQ,2355.1,-0.21,553352.24,5.7,134.08
PERSISTENT,EQ,5699.5,-1.07,88826.71,2.33,134.05
DLF,EQ,691.15,1.96,171081.4,19.21,133.04
DIVISLAB,EQ,6195,1.95,164457.79,2.11,130.41
COALINDIA,EQ,401.1,1.51,247187.03,32.43,130.18
IDEAFORGE,EQ,538.55,0.07,2325.14,24.11,130.06
LODHA,EQ,1310.6,2.89,130773.12,9.88,129.07
LUPIN,EQ,2048.3,-0.78,93528.77,6.21,127.56
VMM,EQ,129.02,-0.53,59316.02,98.77,127.31
INDUSTOWER,EQ,394.15,-0.15,103983.19,32.09,127.15
INTELLECT,EQ,979.5,7.24,13606.46,13.28,127.12
BHARTIHEXA,EQ,1700,-0.19,85000,7.28,126.23
ADANIPORTS,EQ,1376.3,0.52,297299.92,9.17,126.04
BRITANNIA,EQ,5476,-0.16,131899.48,2.27,125.34
AIIL,EQ,2130.6,10.08,36187.2,5.89,125.22
CHOLAFIN,EQ,1594.8,1.01,134126.32,7.83,125.1
STARHEALTH,EQ,395.5,1.57,23246.95,31.18,124.14
FORCEMOT,EQ,10549.5,0.1,13749.07,1.16,123.92
CGPOWER,EQ,667.5,2.35,102061.05,18.47,123.08
ADANIENT,EQ,2469.5,1.16,285024.93,4.92,121.29
DALBHARAT,EQ,2053.8,2.35,38522.13,5.66,115.88
ONGC,EQ,245.7,1.88,309097.46,46.24,113.27
IREDA,EQ,167.97,0.53,45146.38,67.22,113.13
PIDILITIND,EQ,3102,0.05,157782.84,3.62,112.44
CESC,EQ,165.42,0.84,21927.59,67.92,111.95
DYCL,EQ,825,12.54,1998.92,13.72,111.32
PGEL,EQ,831.85,-1.78,23570.19,13.15,110.74
ADANIENSOL,EQ,890.75,-1.49,107004.25,12.28,109.58
SOLARINDS,EQ,13663,0.52,123636.56,0.8,109.48
WIPRO,EQ,252.2,0.25,264136.73,43.07,108.69
AEGISLOG,EQ,819.7,0.88,28771.47,13.35,108.39
BAJAJ-AUTO,EQ,8093,0.37,226003.18,1.31,106.7
MOTILALOFS,EQ,736.75,1.61,44098.39,14.53,106.67
SUNPHARMA,EQ,1702.2,0.13,408414.8,6.12,104.14
MARICO,EQ,727.2,-0.05,94210.68,14.21,103.28
SCI,EQ,176.4,1.5,8216.69,58.13,103.01
BSOFT,EQ,427.2,1.5,11870.91,24.16,102.39
BANKBARODA,EQ,232.1,-0.28,120027.32,43.27,100.97
MAXHEALTH,EQ,1170.9,-0.09,113828.11,8.55,100.26
APLAPOLLO,EQ,1741.1,0.93,48319.8,5.78,100.15
TVSMOTOR,EQ,2730.3,0.66,129713.03,3.61,98.5
NUVAMA,EQ,6674.5,6.53,24011.09,1.49,98.47
SAILIFE,EQ,759.75,4.71,15837.82,12.99,98.35
ADANIPOWER,EQ,538.8,0.01,207811.87,18.2,98.22
LIQUIDBEES,EQ,1000,0,13005.49,9.81,98.12
NETWEB,EQ,1740.1,0.74,9858.34,5.6,97.69
NAZARA,EQ,1215.1,1.65,10646.25,8.06,97.46
MOBIKWIK,EQ,269.9,8.74,2096.75,36.61,97.38
CROMPTON,EQ,330.05,-0.3,21248.92,29.31,96.87
PNB,EQ,97.71,0.03,112297.55,97.98,95.97
PATANJALI,EQ,1803.6,-0.85,65322.34,5.2,93.97
DRREDDY,EQ,1221.6,1.2,101937.07,7.74,93.91
EICHERMOT,EQ,5451,0.59,149446.84,1.71,92.52
IOC,EQ,142.88,0.84,201764.25,64.58,92.43
HINDPETRO,EQ,395.6,1.72,84176.66,23.16,91.59
BANDHANBNK,EQ,166.56,2.57,26832.34,55.56,91.43
CEATLTD,EQ,3914.9,3.84,15835.81,2.34,90.83
HINDCOPPER,EQ,229.48,3.46,22191.27,39.86,90.77
APOLLOHOSP,EQ,6913,-0.07,99398.33,1.31,90.58
DABUR,EQ,468.9,-1.02,83104,19.23,90.33
LTIM,EQ,4999.8,1.63,148168.83,1.78,89.22
FSL,EQ,382.45,5.99,26656.41,24.01,88.81
MANAPPURAM,EQ,231.99,0.39,19636.44,38.04,88.28
NMDC,EQ,69.14,2.87,60786.63,127.34,87.56
CHAMBLFERT,EQ,647.75,-1.49,25952.25,13.34,87.12
KPITTECH,EQ,1365.8,1.46,37442.56,6.31,86.41
OIL,EQ,422.7,3.74,68756.71,20.43,85.95
ASHOKLEY,EQ,233.48,1.36,68562.04,36.42,85.16
REDINGTON,EQ,278.05,2.03,21737.24,30.69,84.73
POLYCAB,EQ,5950,-0.96,89504.3,1.4,83.89
SONACOMS,EQ,523.1,2.94,32522.07,15.8,82.71
JSWENERGY,EQ,474.7,0.09,82966.57,17.25,81.92
SONATSOFTW,EQ,395.65,-1.09,11095.01,20.58,81.79
TATATECH,EQ,707.95,0.49,28719.3,11.54,81.57
ZENSARTECH,EQ,804,4.84,18259.6,10.41,81.23
NCC,EQ,224.3,1.89,14082.6,36.18,81.16
LAURUSLABS,EQ,606.85,1.95,32724.54,13.45,81.16
THERMAX,EQ,3403.5,2.49,40554.85,2.39,81.05
OLAELEC,EQ,51.29,2.4,22623.15,158.24,80.75
IDFCFIRSTB,EQ,69.33,0.48,50795.23,116.15,80.21
HCLTECH,EQ,1632.6,0.8,443032.96,4.91,80.01
HUDCO,EQ,220.44,-0.01,44129.88,35.97,79.52
KPEL,EQ,447,5.31,2981.04,17.62,79.23
NAVINFLUOR,EQ,4272,-1.34,21177.81,1.85,79.1
HYUNDAI,EQ,1800.4,1.8,146289.9,4.41,78.74
KIMS,EQ,646.45,-1.91,25866.98,12.19,78.74
PARADEEP,EQ,153.8,4.24,12540.18,51.4,78.72
CYIENT,EQ,1289.2,3.68,14316.66,6.14,78.42
ASTRAL,EQ,1322.1,-1.64,35516.2,5.93,78.22
HDFCLIFE,EQ,747.5,1.69,160935.87,10.22,76.07
IEX,EQ,196.84,1.05,17552.08,38.47,75.36
DCXINDIA,EQ,326.3,6.72,3634.54,23.1,74.91
CAMS,EQ,3628.7,0.07,17940.32,2.05,74.55
PREMIERENE,EQ,1017.75,-0.18,45877.56,7.26,74.33
ACC,EQ,1866.4,0.7,35048.61,3.94,73.77
JSWSTEEL,EQ,997.8,0.8,244007.4,7.34,73.65
BLUESTARCO,EQ,1553.5,-1.75,31942.26,4.69,73.55
AMBER,EQ,6320,1.7,21388.15,1.17,73.48
LALPATHLAB,EQ,2802.6,0.82,23427.42,2.62,73.31
INDIAGLYCO,EQ,1683.7,2.51,5212.99,4.34,72.91
GREAVESCOT,EQ,208.6,2.92,4855.85,34.86,72.75
TITAN,EQ,3581.2,0.51,317933.98,1.99,71.31
DMART,EQ,4020,-1.09,261594.69,1.73,70.02
DALMIASUG,EQ,448.05,8.22,3626.49,15.34,69.46
GRANULES,EQ,489.5,2.46,11872.51,14.25,69.44
NIFTYBEES,EQ,276.35,0.25,47318.48,24.9,68.86
LICHSGFIN,EQ,614.95,1.98,33826.12,11.1,67.8
SHAILY,EQ,1708,-3.21,7849.13,3.95,67.46
BIOCON,EQ,338.65,2.67,40658.32,20.01,67.22
HINDZINC,EQ,437,1.89,184646.44,15.32,67.03
IIFL,EQ,416.5,2.73,17695.41,16.23,66.87
OBEROIRLTY,EQ,1610,1.5,58539.96,4.12,66.41
METROPOLIS,EQ,1617.7,-4.93,8379.69,4.02,65.48
AMBUJACEM,EQ,542.35,1.02,133587.5,12.09,65.35
ABFRL,EQ,277.7,3.64,33885.87,23.58,65.13
ULTRACEMCO,EQ,11695,0.29,344627.29,0.55,63.88
HDFCGOLD,EQ,80.84,-0.94,8668.39,78.74,63.77
BANKINDIA,EQ,113.6,0.92,51718.31,55.93,63.7
HFCL,EQ,83.76,1.25,12083.83,75.89,63.51
DELHIVERY,EQ,324.9,1.95,24228.87,19.39,62.65
CUMMINSIND,EQ,2874.5,-0.17,79681.14,2.14,62.1
LICI,EQ,828.05,0.2,523741.43,7.41,61.68
KAJARIACER,EQ,890,4.68,14175.23,7.01,61.62
FORTIS,EQ,683.95,2.66,51635.36,9.05,61.61
JWL,EQ,382.35,2.48,16230.68,16.11,61.32
TDPOWERSYS,EQ,470.35,1.38,7346.1,12.95,61.29
SUVEN,EQ,180.85,5.56,3943.86,35.04,60.94
PNBHOUSING,EQ,1085.2,-0.64,28207.07,5.59,60.72
VOLTAS,EQ,1254.8,-0.23,41519.42,4.83,60.72
AUBANK,EQ,690.1,-1.38,51389.42,8.65,60.08
RELINFRA,EQ,271.6,2.47,10758.92,21.99,59.16
IRCTC,EQ,778.65,1.92,62292,7.61,58.92
FEDERALBNK,EQ,198.5,0.21,48774.63,29.62,58.85
M&MFIN,EQ,259.2,3.93,36028.05,22.62,57.62
TORNTPOWER,EQ,1441.9,1.06,72657.85,3.99,57.56
ITCHOTELS,EQ,201.1,1.39,41852.35,28.49,57.39
MOTHERSON,EQ,141.51,-0.66,99570.61,40.18,57.34
INOXWIND,EQ,174.2,2.54,22712.09,33.07,57.33
BALUFORGE,EQ,615.3,1.8,6733.96,9.43,57.27
NESTLEIND,EQ,2367,-0.14,228216,2.42,57.13
GOLDBEES,EQ,78.36,-0.9,20836.48,72.41,56.73
LLOYDSME,EQ,1320,4.18,69067.94,4.31,56.55
QPOWER,EQ,391,3.54,3028.06,14.56,56.25
BAJAJHFL,EQ,122.95,1.28,102446.05,45.4,55.7
GESHIP,EQ,914.35,2.11,13053.92,6.09,55.51
WELSPUNLIV,EQ,144.36,0.03,13846.33,37.12,53.65
IRB,EQ,49.16,2.69,29687.72,109.32,53.59
MPHASIS,EQ,2535,1.78,48221.87,2.12,53.53
ASTRAMICRO,EQ,904.05,0.72,8583.5,5.84,53.29
MTARTECH,EQ,1536.9,2.88,4727.44,3.48,53.2
SHREECEM,EQ,30630,1.61,110515.33,0.17,53.19
WEBELSOLAR,EQ,1423.3,4.99,6007.23,3.73,53.07
BIRLACORPN,EQ,1366.9,2.4,10525.86,3.94,52.91
ZYDUSLIFE,EQ,901.6,-0.03,90722.06,5.85,52.59
TEJASNET,EQ,712.1,-0.18,12557.81,7.24,51.63
JUBLFOOD,EQ,704.5,0.4,46486.09,7.16,50.52
EXIDEIND,EQ,382.8,2.05,32538,13.26,50.25
GODFRYPHLP,EQ,8800,-2.15,45754.65,0.57,50.22
APARINDS,EQ,6566,0.84,26374.52,0.76,49.74
LINDEINDIA,EQ,6776.5,4.95,57792.85,0.74,49.67
TIINDIA,EQ,3037.8,1.46,58779.57,1.64,49.56
ZAGGLE,EQ,395.35,2.85,5305.8,12.63,49.53
OFSS,EQ,8498,0.24,73843.2,0.58,49.47
NHPC,EQ,83.98,0.54,84358.2,58.7,49.31
KEC,EQ,742.45,1.3,19764.02,6.6,49.2
GODREJCP,EQ,1277.4,0.88,130679.04,3.82,48.5
JSL,EQ,648.7,3.82,53437.93,7.51,48.28
TATACONSUM,EQ,1120.5,0.17,110873.31,4.29,48.16
MUTHOOTFIN,EQ,2249.3,1.48,90301.27,2.13,47.91
HAVELLS,EQ,1593,-0.06,99871.82,3,47.9
KEI,EQ,3386.5,-1.13,32358.89,1.4,47.88
KPRMILL,EQ,1149.9,0.24,39305.19,4.16,47.75
HEG,EQ,480.15,4.02,9265.82,10,47.71
SAGILITY,EQ,46.56,3.44,21796.27,102.08,47.3
SJVN,EQ,98.3,2.48,38629.89,48.2,47
SBFC,EQ,106.81,6.59,11599.56,44.46,46.79
MANKIND,EQ,2525.9,-0.84,104213.21,1.85,46.54
BLS,EQ,375.05,1,15442.34,12.37,46.51
AUROPHARMA,EQ,1213.2,-0.87,70462.85,3.78,46.13
SWSOLAR,EQ,290,5,6771.34,16.04,46.07
ESCORTS,EQ,3494.7,-0.2,39097.92,1.31,46.06
PREMEXPLN,EQ,457.5,0.26,2459.57,9.99,45.86
MODEFENCE,EQ,84.5,3.45,268.29,54.48,45.81
PAGEIND,EQ,46140,-0.73,51463.97,0.1,45.61
ELECON,EQ,651.15,-2.66,14611.8,6.98,45.59
UJJIVANSFB,EQ,44.2,0.52,8552.99,102.91,45.59
CRAFTSMAN,EQ,5452,5.74,13006.06,0.85,45.58
RACLGEAR,EQ,818.85,2.22,882.85,5.7,45.5
ANANTRAJ,EQ,457.95,-0.46,15719.62,9.88,45.48
PPLPHARMA,EQ,217.42,1.2,28824.42,21,45.47
CUB,EQ,194.85,2.15,14438.54,23.22,44.88
SHAKTIPUMP,EQ,868.2,3.06,10436.68,5.13,44.55
GVT&D,EQ,1747.8,3.03,44751.81,2.5,43.7
MRF,EQ,140915,0.35,59764.07,0.03,43.69
SBILIFE,EQ,1752.7,0.73,175644.22,2.48,43.34
COLPAL,EQ,2594.3,-0.18,70561.23,1.67,43.23
HCC,EQ,27.95,1.49,5085.18,154.06,43.09
CERA,EQ,6521,0.45,8410.49,0.66,42.98
INTERARCH,EQ,1865.5,5.14,3104.27,2.32,42.76
TECHNOE,EQ,1180.3,5.63,13726.84,3.64,42.6
IDBI,EQ,84.1,2.82,90427.7,50.45,42.16
CONCOR,EQ,696.05,0.96,42409.93,6.03,41.9
INOXGREEN,EQ,149.45,3.49,5485.07,28.38,41.82
LTF,EQ,176.08,2.7,43973.36,23.85,41.68
MASTEK,EQ,2334,3.48,7221.37,1.79,41.66
TFCILTD,EQ,207.2,-0.15,1918.58,19.79,41.63
ICICIGI,EQ,1850,-0.88,91733.17,2.23,41.34
NAM-INDIA,EQ,698.45,-0.92,44330.81,5.93,41.28
PTCIL,EQ,13773,8.01,20637.64,0.31,41.21
NAUKRI,EQ,1441.5,-1.57,93397.75,2.82,40.85
ALKEM,EQ,5100,-0.52,60978.15,0.79,40.25
ACMESOLAR,EQ,235,6.32,14219.56,16.99,40.16
VIPIND,EQ,328.4,-5.4,4663.93,11.91,39.86
HONAUT,EQ,36060,0.68,31882.53,0.11,39.73
PRIVISCL,EQ,2276.4,2.93,8892.23,1.74,39.52
UNITDSPR,EQ,1527.4,-1.71,111095.57,2.54,39.16
UNOMINDA,EQ,991.2,3.87,56920.21,3.87,38.23
ARE&M,EQ,1013.15,-0.07,18543.21,3.75,38.23
JMFINANCIL,EQ,111.98,1.68,10703.53,34.31,38.2
HEXT,EQ,757.8,1.83,46051.1,5.08,38.18
LIQUIDCASE,EQ,108.54,0.02,4901.33,34.99,37.98
TRANSRAILL,EQ,515.15,1.94,6916.2,7.38,37.95
GUJGASLTD,EQ,467.8,0.85,32202.89,8.06,37.75
360ONE,EQ,989.5,2.48,38956.4,3.81,37.27
TEXRAIL,EQ,148.17,2.83,5918.91,24.91,36.74
PRESTIGE,EQ,1383.9,2.72,59608.76,2.63,36.29
CARERATING,EQ,1514,-0.35,4531.73,2.37,36.26
RITES,EQ,242.26,3.93,11643.11,14.94,35.92
KRN,EQ,795,-0.94,4941.45,4.46,35.83
ONEPOINT,EQ,59.63,5.63,1535.34,60.92,35.78
GABRIEL,EQ,647.7,3.82,9303.82,5.57,35.74
OLECTRA,EQ,1245,0.27,10219.05,2.86,35.62
APOLLOTYRE,EQ,476,0.76,30230.81,7.49,35.57
SYNGENE,EQ,639.65,1.62,25748.28,5.57,35.37
SUPREMEIND,EQ,3533,-1.54,44878.59,0.99,35.12
CARTRADE,EQ,1647.1,0.24,7813.49,2.09,34.83
ENGINERSIN,EQ,185.81,1.01,10443.31,18.1,33.69
INDIANB,EQ,580,-0.15,78123.91,5.76,33.63
SWANENERGY,EQ,433.7,-0.77,13594.63,7.68,33.53
SURYAROSNI,EQ,294.3,3.81,6405.02,11.3,33.1
GRASIM,EQ,2718,0.34,184961.56,1.21,33.09
VMART,EQ,3523.3,-0.98,6991.36,0.93,32.8
PRAJIND,EQ,476.95,1.53,8766.97,6.79,32.46
ATGL,EQ,654.1,0.89,71938.58,4.98,32.42
KIRIINDUS,EQ,620.8,-0.47,3453.45,5.2,32.41
KSCL,EQ,1387.1,-6.39,7135.11,2.29,32.39
GPIL,EQ,203.68,2.41,13631.47,16.01,32.28
AZAD,EQ,1745.3,0.93,11271.45,1.83,32.2
NTPCGREEN,EQ,102.05,-0.01,85990.69,31.37,32.03
IGIL,EQ,384.95,3.26,16635.99,8.2,31.46
CMSINFO,EQ,463.4,2.73,7616.68,6.79,31.38
SCHAEFFLER,EQ,3974,0.56,62115.08,0.79,31.28
RAMCOCEM,EQ,994,1.87,23487.46,3.13,30.87
SKYGOLD,EQ,335.05,5,4915.14,9.25,30.62
AARTIPHARM,EQ,804.6,3.08,7292.46,3.8,30.61
LIQUIDADD,EQ,1072.14,0.01,2522.45,2.85,30.56
PEL,EQ,1074.9,-0.08,24236.6,2.81,30.19
POONAWALLA,EQ,390.65,1.92,30400.47,7.71,30.07
GLENMARK,EQ,1440.5,1.63,40651.03,2.04,29.25
AJAXENGG,EQ,734.55,0.5,8403.75,3.94,29.1
KARURVYSYA,EQ,221.5,0.99,17830.49,13.12,28.98
MARKSANS,EQ,238.51,0.47,10808.41,12.15,28.96
SILVERBEES,EQ,93.05,-0.92,6531.49,30.91,28.71
AURIONPRO,EQ,1395,0.22,7702.29,2.06,28.71
WALCHANNAG,EQ,212.71,10,1434.93,13.79,28.34
VIJAYA,EQ,939,-3.21,9637.55,2.99,28.33
AAVAS,EQ,1808,0.39,14310.98,1.57,28.28
GRAVITA,EQ,1904.2,1.05,14054.61,1.48,28.25
PROTEAN,EQ,1371.8,3.07,5562.41,2.03,27.65
UNIMECH,EQ,1033.95,5.84,5258.35,2.64,27.33
DOMS,EQ,2873.5,2.73,17438.48,0.94,26.81
PETRONET,EQ,311.05,-0.48,46657.5,8.53,26.55
BALRAMCHIN,EQ,559.35,0.97,11284.84,4.71,26.41
RADICO,EQ,2608.3,0.71,34905.23,1.01,26.28
ZENTEC,EQ,1628,5,14699.27,1.62,26.15
JKTYRE,EQ,343.05,2.76,9400.26,7.62,25.94
IFCI,EQ,44.34,2.14,11946.59,58.5,25.93
NEWGEN,EQ,1141,-1.1,16159.43,2.26,25.85
MGL,EQ,1387.1,-0.34,13701.47,1.85,25.8
MANINDS,EQ,322.4,-3.65,2087.06,7.98,25.6
NUVOCO,EQ,352.2,3.51,12579.04,7.27,25.47
GANESHHOUC,EQ,1004.2,-0.09,8373.73,2.51,25.36
AARTIIND,EQ,464.55,-0.46,16840.87,5.4,25.22
SOUTHBANK,EQ,26.75,1.13,6998.61,94.04,25.17
GRWRHITECH,EQ,3515,-0.35,8166.19,0.7,24.94
AWL,EQ,267,1.48,34701.42,9.32,24.9
VIMTALABS,EQ,1049,3.2,2332.4,2.36,24.65
MOIL,EQ,345.25,1.44,7025.33,7.14,24.6
PCBL,EQ,379.25,1.44,14315.27,6.44,24.33
STERTOOLS,EQ,310,4.43,1121.71,7.76,24.32
DBREALTY,EQ,184.48,3.72,9933.61,13.26,24.29
ASTERDM,EQ,563.65,2.46,28155.05,4.35,24.2
JUBLINGREA,EQ,684.9,-2.14,10909.17,3.48,24.12
SIGNATURE,EQ,1168,0.31,16411.65,2.06,24.12
J&KBANK,EQ,101.71,0.1,11200.13,23.61,24.06
SAMMAANCAP,EQ,123.39,0.32,10221.03,19.28,23.86
JINDALSAW,EQ,216.34,1.53,13835.12,11.01,23.83
ORIENTCEM,EQ,352.65,-0.56,7245.54,6.62,23.4
ELECTCAST,EQ,100.96,2.96,6241.19,23.16,23.32
MAHABANK,EQ,50.5,-0.08,38842.35,46,23.27
CCL,EQ,730.85,1.53,9758.89,3.19,23.21
RKFORGE,EQ,582.7,0.9,10548.65,3.99,23.17
AGARWALEYE,EQ,385.95,4.13,12197.55,6.03,23.14
BLUEJET,EQ,768,-0.13,13322.14,2.96,22.98
JBMA,EQ,684.1,-0.65,16178.57,3.33,22.86
SGLTL,EQ,158.7,3.97,3165.93,14.31,22.82
CHOICEIN,EQ,677,2.79,13516.68,3.4,22.81
DCBBANK,EQ,140.94,-1.22,4431.47,15.96,22.79
NH,EQ,1789.2,0.79,36564.24,1.26,22.73
CHALET,EQ,910.7,4.1,19894.73,2.52,22.69
PHOENIXLTD,EQ,1544.8,0.41,55230.04,1.46,22.61
LLOYDSENGG,EQ,56.09,2.37,8265.16,40.01,22.51
NITINSPIN,EQ,413.3,6.25,2323.57,5.47,22.43
BECTORFOOD,EQ,1566.4,1.15,9617.4,1.44,22.35
FUSION,EQ,186.25,9.29,3018.78,12.43,22.35
PATELENG,EQ,41.66,-1.68,3517.67,53.4,22.31
EASEMYTRIP,EQ,12.26,-0.41,4345.04,178.88,22.15
THOMASCOOK,EQ,143,2.1,6726.44,15.47,22.04
ASKAUTOLTD,EQ,446.1,1.92,8794.53,4.91,22.04
SARDAEN,EQ,450.5,0.68,15874.78,4.85,21.84
VOLTAMP,EQ,8397,0.04,12143.4,0.26,21.84
DEEPAKFERT,EQ,1307.1,1.26,16500.55,1.65,21.55
EMBASSY,RR,381.57,-0.1,36168.78,5.66,21.54
WABAG,EQ,1384.2,1.49,8608.4,1.54,21.39
E2E,EQ,2790.6,-2.82,5572.23,0.76,21.34
KIOCL,EQ,275.05,8.91,16716.19,7.76,21.32
TORNTPHARM,EQ,3223.8,-0.38,109108.04,0.66,21.25
EMBDL,EQ,101.35,2.36,18563.71,20.98,21.22
FIVESTAR,EQ,678.15,-1.32,19966.57,3.07,20.85
